Id_Docente,Nombre_Completo,Id_Centro,Id_Carrera,Salario,Correo,Sexo,Direccion
1,Colman Hulett,1,28,20771,chulett0@gnu.org,Male,696 Morrow Avenue
2,Roddy Langrish,7,18,21873,rlangrish1@addtoany.com,Male,6483 Bartelt Point
3,Tobit Jakubovics,5,14,21757,tjakubovics2@jugem.jp,Male,5 Hallows Hill
4,Toby Gencke,7,7,27770,tgencke3@fema.gov,Male,508 Pleasure Court
5,Avram Hembry,6,15,30638,ahembry4@illinois.edu,Male,41019 Northridge Street
6,Ronnie Caukill,6,54,25553,rcaukill5@hibu.com,Female,86 Corben Point
7,Brnaba Pitchford,2,65,26147,bpitchford6@list-manage.com,Male,61 Gulseth Pass
8,Knox Gavrielly,7,31,31469,kgavrielly7@imdb.com,Male,111 Armistice Parkway
9,Roman Cardenosa,9,25,36484,rcardenosa8@usnews.com,Male,03996 Evergreen Circle
10,Britteny Tape,3,12,35265,btape9@constantcontact.com,Female,38 Homewood Junction
11,Rikki Auchterlony,5,52,28315,rauchterlonya@netlog.com,Non-binary,84164 Northview Center
12,Zacherie Jancic,5,51,24799,zjancicb@engadget.com,Male,4 Bunker Hill Point
13,Sissie Jerrold,7,33,31917,sjerroldc@pcworld.com,Agender,07 Truax Circle
14,Aubree Childrens,1,57,30242,achildrensd@php.net,Female,9561 Monterey Way
15,Crystal Bennetto,6,13,22610,cbennettoe@youtube.com,Female,751 Dennis Plaza
16,Jelene Quinnell,7,30,27007,jquinnellf@blog.com,Female,749 Pleasure Circle
17,Rooney Oxherd,3,13,32474,roxherdg@dyndns.org,Male,1079 Gateway Trail
18,Terrance O'Cannan,2,56,30122,tocannanh@wiley.com,Male,95086 Muir Place
19,Dare Heams,4,42,29424,dheamsi@oracle.com,Male,67274 Roxbury Plaza
20,Gris Wilshere,9,51,31308,gwilsherej@reddit.com,Male,0014 Red Cloud Pass
21,Darice Quinsee,4,3,37886,dquinseek@shareasale.com,Genderqueer,8270 Harbort Point
22,Brendan Lawey,5,6,23704,blaweyl@gnu.org,Male,9 Dayton Center
23,Benoit Reitenbach,2,1,38014,breitenbachm@sun.com,Male,9 1st Circle
24,Janos Standall,4,61,33185,jstandalln@cafepress.com,Male,6871 Vera Drive
25,Sumner Kluge,3,54,33267,sklugeo@amazon.com,Genderfluid,44322 Upham Parkway
26,Brannon Vallentine,4,43,28570,bvallentinep@apache.org,Male,6584 Susan Road
27,Kerstin Molfino,3,26,27045,kmolfinoq@e-recht24.de,Female,88458 John Wall Circle
28,Susanne Noblett,9,12,24759,snoblettr@shinystat.com,Female,249 Evergreen Lane
29,Anselm Critoph,9,24,29028,acritophs@un.org,Male,1363 Bluestem Avenue
30,Mischa Mawditt,5,23,21660,mmawdittt@seattletimes.com,Male,1 Gateway Court
31,Leia Greasley,8,12,24846,lgreasleyu@telegraph.co.uk,Female,2 Magdeline Place
32,Shalom McBain,1,5,36109,smcbainv@prweb.com,Male,58649 Schiller Center
33,Vania Godlee,1,47,29537,vgodleew@shutterfly.com,Female,317 Fallview Plaza
34,Nedi Illing,2,50,30993,nillingx@github.com,Female,90259 Merrick Center
