Id_Estudiante,Nombre_Completo,Id_Centro,Id_Carrera,Correo,Sexo,Direccion
1,Bevan Scandrett,7,17,bscandrett0@wiley.com,Male,210 Di Loreto Court
2,Zebedee Claisse,8,61,zclaisse1@si.edu,Male,7 Gerald Lane
3,Shandie Marr,4,2,smarr2@symantec.com,Female,46005 Gateway Trail
4,Remington Newcome,9,4,rnewcome3@bluehost.com,Male,69 Mcbride Avenue
5,Bellina Ivett,6,59,bivett4@ftc.gov,Female,87 Gateway Avenue
6,Emile Capps,8,54,ecapps5@edublogs.org,Male,497 Bay Crossing
7,Marsha Fragino,6,42,mfragino6@vimeo.com,Female,9 Swallow Drive
8,Junie Vautin,4,47,jvautin7@webnode.com,Polygender,72 Twin Pines Parkway
9,Leighton Ajean,9,11,lajean8@cnn.com,Male,0 Transport Street
10,Riobard Cleeton,3,56,rcleeton9@washington.edu,Male,3 Lakewood Road
11,Garner Lackey,9,3,glackeya@aboutads.info,Male,52383 Monterey Trail
12,Phip Claypool,2,39,pclaypoolb@google.com.hk,Male,50 Badeau Parkway
13,Noella D'Onisi,8,28,ndonisic@desdev.cn,Genderqueer,00614 Springview Road
14,Catlin Birdsey,3,45,cbirdseyd@netlog.com,Agender,181 Fordem Way
15,Wilt Ragles,6,44,wraglese@wix.com,Male,45465 Arkansas Center
16,Jay Canto,1,34,jcantof@house.gov,Male,67383 Mesta Park
17,Janel Puddin,9,19,jpudding@behance.net,Female,8 Blue Bill Park Circle
18,Leland Malham,1,50,lmalhamh@ibm.com,Female,468 Hoard Road
19,Bobine Nendick,9,51,bnendicki@liveinternet.ru,Female,809 Monterey Alley
20,Jolene Turfes,4,11,jturfesj@hao123.com,Female,57 Jenifer Parkway
21,Magdalene Soggee,1,34,msoggeek@hibu.com,Female,9 Northfield Center
22,Griffy Walbrun,1,20,gwalbrunl@goo.ne.jp,Male,69909 Buell Way
23,Ansley Bradd,2,8,abraddm@amazon.com,Female,0328 Susan Court
24,Lennard Jodlkowski,4,23,ljodlkowskin@skype.com,Male,88 Tennessee Lane
25,Evelin De Mars,3,46,edeo@nba.com,Male,975 Farmco Circle
26,Gabrila Giacomelli,2,46,ggiacomellip@xing.com,Female,2 Basil Parkway
27,Greggory Brydone,4,63,gbrydoneq@telegraph.co.uk,Male,93 Browning Circle
28,Ryon Carwardine,3,11,rcarwardiner@pbs.org,Male,9114 Almo Circle
29,Suzette Imore,1,14,simores@paypal.com,Female,8 Thierer Street
30,Milty Grosier,2,48,mgrosiert@foxnews.com,Male,0 Sutteridge Trail
31,Shae Brandham,9,40,sbrandhamu@europa.eu,Male,04180 Gale Place
32,Guillema Auckland,7,54,gaucklandv@t-online.de,Bigender,044 Packers Pass
33,Gilligan Bowden,2,65,gbowdenw@globo.com,Female,5607 Veith Center
34,Westbrook Hampe,9,46,whampex@arizona.edu,Agender,3 Brentwood Drive
35,Tedmund Baldi,9,29,tbaldiy@trellian.com,Male,03855 Colorado Road
36,Grier Dimitresco,1,40,gdimitrescoz@globo.com,Female,273 Dixon Court
37,Sidoney Cockroft,9,49,scockroft10@dagondesign.com,Female,87 Armistice Pass
38,Denney Andrewartha,1,41,dandrewartha11@dailymail.co.uk,Male,5 Fallview Circle
39,Gilbertina Lidgley,1,52,glidgley12@unicef.org,Female,47929 Sycamore Lane
40,Alfie Ventom,6,19,aventom13@loc.gov,Male,32244 Fairfield Lane
41,Zaria Pena,6,17,zpena14@google.co.uk,Female,29 Upham Way
42,Lamont Ovesen,3,1,lovesen15@yelp.com,Male,017 Express Lane
43,Sidonia Whitehead,5,24,swhitehead16@bloglovin.com,Female,4098 Warner Junction
44,Mureil Costelloe,2,3,mcostelloe17@thetimes.co.uk,Bigender,43 Derek Way
45,Sandor Merigeau,3,11,smerigeau18@furl.net,Male,12 Bluejay Alley
46,Ruprecht Tison,8,23,rtison19@redcross.org,Male,66 Kim Road
47,Kristo Hughman,7,21,khughman1a@pbs.org,Male,4 Mesta Alley
48,Wainwright Tooze,4,17,wtooze1b@networkadvertising.org,Male,24 Melvin Avenue
49,Bernadina Greder,7,48,bgreder1c@1688.com,Female,4 Loftsgordon Circle
50,Nikki Gasticke,8,48,ngasticke1d@zdnet.com,Female,80561 Fairview Way
51,Madlen Simeonov,3,61,msimeonov1e@shop-pro.jp,Female,8308 Brown Street
52,Carolyn Coopland,9,58,ccoopland1f@wikispaces.com,Female,09095 Cottonwood Avenue
53,Maude Read,7,5,mread1g@furl.net,Female,5278 Atwood Lane
54,Birdie Corkan,9,11,bcorkan1h@cbslocal.com,Female,290 Crowley Pass
55,Karl McCardle,6,50,kmccardle1i@va.gov,Male,82503 Cottonwood Alley
56,Boony Rackley,6,8,brackley1j@redcross.org,Male,823 John Wall Drive
57,Beale D'Aeth,3,32,bdaeth1k@printfriendly.com,Male,7866 Blackbird Parkway
58,Melisenda Chadbourne,6,40,mchadbourne1l@networkadvertising.org,Agender,506 Harbort Avenue
59,Gardy Twinberrow,6,63,gtwinberrow1m@mashable.com,Male,7296 Gateway Alley
